,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
130,Nuevo Progreso,1212,San Marcos,34742.4846,35774.4959,36849.0543,37953.5833,39075.1939,40200.7136,41338.8555,42498.4566,43666.2079,44828.5309,45971.5809
131,Nuevo San Carlos,1108,Retalhuleu,31006.4706,31457.4696,31919.9305,32386.7354,32850.9793,33306,33756.1215,34205.5178,34647.6336,35076.1276,35484.8836
132,Ocós,1218,San Marcos,40444.5707,41807.7871,43230.9261,44699.7732,46199.5758,17178.0004,17732.3718,18300.6222,18876.5453,19454.3199,20027.8974
133,Olintepeque,903,Quetzaltenango,31591.4261,32697.6108,33843.9149,35023.8768,36230.6797,37457.1621,38708.195,39988.8566,41291.767,42609.2102,43933.1021
134,Olopa,2006,Chiquimula,22993.2987,23668.2408,24375.5204,25110.6209,25868.9122,26645.6245,27444.2632,28268.4319,29113.2567,29973.7518,30844.7886
135,Oratorio,606,Santa Rosa,23058.4402,23578.443,24132.6969,24714.4514,25316.832,25932.8525,26567.3453,27225.2336,27899.4396,28582.7912,29267.995
136,Pachalum,1421,Quiché,8307.1088,8441.3879,8576.60878,8711.71597,8845.73279,8977.71287,9108.00816,9236.92532,9363.57306,9487.1421,9606.8779
137,Pajapita,1222,San Marcos,22807.317,23561.7581,24349.012,25161.0355,25989.4825,26825.713,27675.5796,28545.1398,29425.6038,30307.854,31182.5028
138,Palencia,105,Guatemala,58046.147,59138.632,60202.148,61236.585,62241.819,63217.785,64163.697,65078.791,65963.046,66816.504,67639.182
139,Palestina de los Altos,924,Quetzaltenango,12721.1703,12846.2301,12973.0523,13098.6852,13220.313,13335.2794,13445.3474,13552.2031,13653.2592,13746.0591,13828.2912
140,Palín,511,Escuintla,56518.498,58697.5985,60927.3385,63202.313,65516.763,67864.472,70249.463,72676.018,75137.72,77627.693,80138.701
141,Panajachel,710,Sololá,16206.3053,16777.9481,17360.6911,17952.7098,18552.1633,19157.1676,19768.5211,20387.0493,21010.8109,21637.8635,22266.2297
142,Panzós,1607,Alta Verapaz,56999.3545,58262.7343,59546.7589,60843.1096,62143.7626,63440.9326,64738.7455,66041.079,67340.3064,68629.1571,69900.4715
143,Parramos,414,Chimaltenango,14572.1952,15186.8974,15824.3158,16483.396,17163.0242,17861.9956,18581.641,19323.3435,20085.8408,20867.8279,21667.8878
144,Pasaco,2215,Jutiapa,13297.9657,4832.2671,9289.1065,9453.4781,9624.652,9799.0518,9978.9074,10166.392,10357.9719,10550.125,10739.3678
145,Pastores,303,Sacatepéquez,14481.3702,14767.7294,15053.5465,15337.5743,15618.5883,15895.3665,16168.5559,16438.8087,16704.9184,16965.675,17219.8951
146,Patulul,1014,Suchitepéquez,39313.7728,40463.903,41655.3032,42880.7614,44132.9396,45404.3194,46699.8848,48024.7539,49371.2898,50731.745,52098.1884
147,Patzicía,409,Chimaltenango,32181.4333,33188.0364,34219.1705,35271.4615,36341.4795,37425.7767,38526.2639,39644.8807,40778.1246,41922.4295,43074.2529
148,Patzité,1407,Quiché,5753.07797,5867.57643,5983.50221,6100.12335,6216.75132,6332.72622,6448.26798,6563.6005,6678.07521,6791.09822,6902.10691
149,Patzún,407,Chimaltenango,51405.6899,52365.8443,53333.0848,54301.445,55265.1406,56218.6251,57164.5857,58105.595,59036.2419,59951.3065,60845.8129
150,Petapa,117,Guatemala,156790.422,162873.877,169054.348,175331.308,181704.172,188172.464,194733.379,201383.816,208122.947,214949.807,221863.431
151,Petatán,1333,Huehuetenango,0,0,0,0,0,10830.9988,11031.9996,11284.9997,11534.9945,11780.9994,12018.0004
152,Pochuta,408,Chimaltenango,11170.1475,11303.8399,11436.798,11567.7597,11695.5111,11818.9257,11938.645,12055.2414,12167.6495,12274.8647,12375.95
153,Poptún,1712,Petén,60142.4506,62573.4012,64988.2395,67391.3838,69787.1443,72179.9395,74565.9255,76941.3067,79310.5276,81677.912,84047.941
154,Pueblo Nuevo,1019,Suchitepéquez,10750.2119,10985.6856,11228.3668,11476.1423,11726.9071,11978.5642,12232.3674,12489.5576,12748.0363,13005.7574,13260.6775
155,Pueblo Nuevo Viñas,613,Santa Rosa,23537.4557,24043.5737,24583.5163,25150.3176,25736.9087,26336.1064,26952.802,27591.9041,28246.1897,28908.3561,29571.0028
156,Puerto Barrios,1801,Izabal,100370.439,102463.025,104584.363,106721.919,108863.167,110995.873,113126.238,115260.139,117385.388,119490.043,121562.378
157,Purulhá,1508,Baja Verapaz,47215.453,49058.7085,51005.1966,53045.5048,55169.4911,57366.3681,59646.317,62019.9493,64476.217,67003.262,69588.626
